광역시도,자치구,연도,재활용률,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,은평구,2022,88.2,477827,421351,128783,72461,35,35.0,349009,348856,3336,754
서울시,은평구,2023,87.3,392490,342615,123761,74038,10304,10151.0,258426,258426,3455,873
서울시,은평구,2024,91.0,615338,559766,127441,72827,12231,11603.0,475666,475336,3478,915
서울시,종로구,2020,87.5,342206,299486,96692,56165,536,375.0,244977,242946,6916,1831
서울시,종로구,2021,90.6,419436,379918,83878,45404,575,448.0,334984,334066,7666,1847
서울시,종로구,2022,88.4,381189,337063,104369,62003,964,577.0,275856,274483,6828,1247
서울시,종로구,2023,85.0,319564,271653,97419,54632,5548,567.0,216598,216454,6669,1434
서울시,종로구,2024,85.1,274926,233974,98887,58688,2447,1746.0,173592,173540,5592,1277
서울시,중구,2020,89.3,564935,504453,130842,72461,3891,3272.0,430202,428720,3734,1013
서울시,중구,2021,85.7,421214,361109,108816,50113,703,623.0,311695,310374,4244,1189
서울시,중구,2022,88.1,438390,386137,118766,66571,572,526.0,319051,319040,3446,890
서울시,중구,2023,84.5,346386,292569,132481,78731,299,256.0,213607,213582,2752,651
서울시,중구,2024,89.6,460797,412875,133576,85767,25473,25362.0,301748,301747,2404,707
서울시,중랑구,2020,90.1,439624,396267,123561,82943,4022,1974.0,312042,311350,1765,560
서울시,중랑구,2021,91.2,492843,449437,105213,64188,6204,4126.0,381425,381123,2067,562
서울시,중랑구,2022,86.7,316158,274261,104375,63404,3798,3256.0,207985,207602,1895,577
서울시,중랑구,2023,80.2,201978,162026,96847,57284,3464,3412.0,101667,101330,2188,647
서울시,중랑구,2024,87.2,317987,277147,107223,66826,662,309.0,210101,210013,2204,764
