광역시도,자치구,연도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,동대문구,2012,874.5,729.3,302.1,184.9,97.9,97.9,6.5,,468.0,446.5,6.6,1.1
서울시,동대문구,2013,923.2,790.9,298.2,180.8,98.6,98.6,6.5,,519.9,511.5,7.9,2.3
서울시,동대문구,2014,1014.9,874.5,309.6,189.7,105.1,105.1,6.3,,593.9,579.7,9.9,2.4
서울시,동대문구,2015,1304.5,1177.6,302.5,185.8,105.8,105.8,6.5,,889.7,886.0,10.8,2.7
서울시,동대문구,2016,1564.7,1435.5,321.2,205.6,105.4,105.4,6.5,,1131.6,1124.5,9.6,2.4
서울시,동대문구,2017,1560.5,1424.3,320.7,208.8,101.8,101.8,26.1,11.1,1111.9,1102.6,9.6,2.2
서울시,동대문구,2018,1658.0,1527.4,318.7,208.3,97.6,97.6,22.6,20.2,1219.1,1201.3,10.6,2.3
서울시,동대문구,2019,1357.9,1232.6,313.5,200.7,97.7,97.7,26.1,16.1,920.6,918.1,9.3,2.1
서울시,동작구,2000,,356.0,,164.0,,,,4.0,,188.0,,
서울시,동작구,2001,,1587.0,,185.0,,,,4.0,,1398.0,,
서울시,동작구,2002,,1628.0,,191.0,,,,,,1437.0,,
서울시,동작구,2003,,1533.0,,191.0,,,,,,1342.0,,
서울시,동작구,2004,,1139.0,,131.0,,88.0,,,,920.0,,2.0
서울시,동작구,2005,,1071.0,,123.0,,107.0,,,,841.0,,1.0
서울시,동작구,2006,,755.0,,102.0,,107.0,,20.0,,526.0,,1.0
서울시,동작구,2007,,1739.0,,103.0,,115.0,,,,1521.0,,1.0
서울시,동작구,2008,,1574.0,,102.0,,123.0,,,,1350.0,,2.0
서울시,동작구,2009,,1140.0,,135.0,,121.0,,,,885.0,,1.0
서울시,동작구,2010,1572.1,1433.5,237.0,120.2,86.1,86.1,0.6,0.6,1248.4,1226.6,6.3,1.4
서울시,동작구,2011,1187.5,1041.6,219.4,95.4,108.3,108.3,,,859.8,837.9,11.8,4.5
서울시,동작구,2012,923.7,814.3,222.8,125.9,114.9,114.9,,,586.0,573.5,7.3,1.3
서울시,동작구,2013,1090.5,981.6,221.2,120.6,106.3,106.3,,,763.0,754.7,8.4,1.9
서울시,동작구,2014,1345.5,1234.9,224.2,123.3,115.6,115.6,,,1005.7,996.0,111.0,1.5
서울시,동작구,2015,1170.9,1056.0,191.7,103.8,106.2,106.2,,,873.0,846.0,9.2,1.3
서울시,동작구,2016,1801.8,1703.7,181.4,89.3,99.1,99.1,,,1521.3,1515.3,12.5,1.8
서울시,동작구,2017,1228.5,1116.4,177.5,86.8,91.5,91.5,,,959.5,938.1,10.3,1.4
서울시,동작구,2018,1569.0,1462.7,199.5,109.0,91.1,91.1,,,1278.4,1262.6,11.1,1.8
서울시,동작구,2019,1503.7,1408.7,222.6,132.1,92.8,92.8,,,1188.3,1183.8,10.6,2.2
서울시,마포구,2000,,856.0,,204.0,,,,,,652.0,,
서울시,마포구,2001,,878.0,,204.0,,,,,,675.0,,
서울시,마포구,2002,,897.0,,204.0,,,,0.0,,693.0,,
서울시,마포구,2003,,1786.0,,239.0,,,,0.0,,1547.0,,
서울시,마포구,2004,,1274.0,,174.0,,81.0,,,,1019.0,,3.0
서울시,마포구,2005,,2391.0,,208.0,,97.0,,,,2086.0,,3.0
서울시,마포구,2006,,1882.0,,145.0,,103.0,,146.0,,1488.0,,3.0
서울시,마포구,2007,,1866.0,,166.0,,116.0,,109.0,,1475.0,,3.0
서울시,마포구,2008,,2382.0,,145.0,,124.0,,76.0,,2038.0,,5.0
서울시,마포구,2009,,2247.0,,163.0,,120.0,,,,1964.0,,5.0
서울시,마포구,2010,1689.9,1517.4,180.8,43.8,122.3,122.3,,,1386.8,1351.3,3.0,0.8
