광역시도,자치구,연도,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
서울시,동작구,2016,99.0,83.8,37.6,33.3,12.9,15.2,6.3,6.4,0.4,1.9,0.2,,,,,,
서울시,동작구,2017,91.5,77.5,33.7,29.2,14.6,14.0,5.2,5.5,0.4,2.7,0.2,,,,,,
서울시,동작구,2018,91.1,76.5,34.2,27.6,14.7,14.6,5.3,6.3,0.1,2.6,0.3,,,,,,
서울시,동작구,2019,92.8,78.2,35.9,27.5,14.8,10.0,5.1,1.1,0.1,3.5,0.1,4.7,0.6,0.5,,3.5,
서울시,동작구,2020,85.3,74.7,32.6,28.4,13.7,6.7,3.1,3.5,0.1,,0.1,3.9,0.6,0.4,,3.0,
서울시,동작구,2021,80.7,71.3,31.4,27.5,12.4,6.1,3.8,2.2,0.1,,,3.3,0.1,,,3.2,
서울시,동작구,2022,80.6,68.3,29.8,26.2,12.3,9.0,6.4,2.5,0.0,,0.1,3.2,,,,3.2,
서울시,동작구,2023,78.8,65.9,29.9,23.7,12.3,8.8,6.0,2.7,,,0.1,4.1,,,,4.0,0.1
서울시,마포구,2014,131.8,117.7,67.4,37.9,12.4,14.1,3.5,7.5,0.9,1.3,0.9,,,,,,
서울시,마포구,2015,142.5,118.4,67.3,40.3,10.8,24.1,5.4,14.8,2.2,0.8,0.9,,,,,,
서울시,마포구,2016,131.2,106.8,57.1,37.8,11.9,24.4,5.4,16.1,2.5,,0.4,,,,,,
서울시,마포구,2017,108.9,85.3,42.9,32.6,9.8,23.6,5.4,15.2,2.1,,0.9,,,,,,
서울시,마포구,2018,91.1,68.2,33.1,27.3,7.8,22.9,5.5,15.4,1.4,,0.6,,,,,,
서울시,마포구,2019,96.4,65.3,32.8,24.5,8.0,27.0,6.3,20.1,,,0.6,4.1,,,4.1,,
서울시,마포구,2020,84.6,63.4,29.6,26.4,7.4,19.8,3.7,14.7,0.3,,1.1,1.4,,0.1,1.2,,0.1
서울시,마포구,2021,77.9,61.4,28.1,26.3,7.0,15.2,5.0,9.9,,,0.4,1.3,0.0,,0.9,,0.3
서울시,마포구,2022,81.0,61.3,28.1,24.5,8.8,18.1,5.9,11.1,0.4,0.0,0.5,1.6,,,1.2,,0.4
서울시,마포구,2023,78.8,58.9,28.4,23.3,7.1,18.5,5.0,13.1,,0.0,0.4,1.5,0.1,0.2,0.9,,0.2
서울시,서대문구,2014,91.0,74.6,20.9,31.5,22.2,16.4,7.8,5.2,1.6,0.8,1.0,,,,,,
서울시,서대문구,2015,82.7,69.2,30.3,21.9,17.0,13.5,5.5,6.9,0.1,,1.0,,,,,,
서울시,서대문구,2016,79.8,62.7,20.5,24.3,17.9,17.1,7.0,8.7,0.3,,1.1,,,,,,
서울시,서대문구,2017,76.9,59.2,22.5,21.3,15.4,17.7,8.3,8.0,0.4,,1.0,,,,,,
서울시,서대문구,2018,73.1,57.4,23.2,19.4,14.8,15.7,6.3,7.0,1.4,,1.0,,,,,,
서울시,서대문구,2019,71.1,56.7,23.9,19.0,13.8,11.1,5.6,5.0,0.3,,0.1,3.4,1.7,0.8,,,1.0
서울시,서대문구,2020,63.5,52.6,22.6,20.3,9.6,8.0,3.7,4.1,0.1,,0.1,2.9,1.9,0.5,,,0.4
서울시,서대문구,2021,61.1,50.9,22.4,20.3,8.2,8.9,4.8,3.8,0.3,,0.1,1.3,0.9,0.3,,,0.1
서울시,서대문구,2022,63.1,50.6,22.3,19.3,9.0,9.8,5.3,4.1,0.4,,0.1,2.7,1.9,0.6,,,0.2
서울시,서대문구,2023,61.0,50.5,23.6,18.8,8.1,9.5,5.2,4.0,0.2,,0.1,1.0,0.6,0.3,,,0.1
서울시,서초구,2014,187.6,140.1,43.8,75.7,20.6,47.5,14.5,21.8,5.4,1.2,4.6,,,,,,
서울시,서초구,2015,206.0,137.9,38.8,43.7,55.4,68.1,15.2,38.4,6.5,3.2,4.8,,,,,,
