자치구,연도,쓰레기_배출량,쓰레기_매립량,쓰레기_소각량,쓰레기_재활용량,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량
동대문구,2023,325181,7427,36532,278938,0.86,359873,113337,72494,31303,31512,7144,11904,9148,2714,3,196638,196571,66,-,3303,726,2240,281
동대문구,2024,341850,4864,37378,298568,0.86,358603,112593,73460,31221,33612,4632,7696,6656,1040,-,218121,217571,550,-,3440,881,2176,232
동작구,2020,471935,9709,26941,434075,0.81,401572,118757,86746,31234,24316,6850,961,932,-,29,348708,345888,288,2531,3509,509,2337,299
동작구,2021,373833,11705,27629,333856,0.75,394364,108554,71943,29366,25098,11143,1524,1477,16,31,259969,259500,154,314,3786,936,2361,217
동작구,2022,391694,13848,28958,347999,0.83,390432,118013,77044,29518,26806,13606,2165,2141,-,25,268178,268154,24,-,3337,661,2127,218
동작구,2023,412026,10416,29037,372016,0.82,389714,116719,79700,28746,26679,9967,572,559,-,13,291544,291222,322,-,3192,535,2036,436
동작구,2024,987083,9484,29140,945710,0.84,387352,119527,80659,28611,27158,9166,2403,2387,-,16,862392,862151,241,-,2762,513,1741,302
마포구,2020,602333,21283,43428,537557,0.96,381858,134108,79919,30959,41798,12391,25041,22788,4,2249,434365,433141,708,516,8820,1708,919,6128
마포구,2021,516703,16665,42378,389226,1.44,378686,199008,79714,28462,41372,10035,25993,24879,90,579,283893,283396,161,335,7809,1237,755,5716
마포구,2022,641217,16907,43096,568963,1.11,375585,152394,88134,29584,42222,9994,25892,23973,123,1604,455696,455618,79,-,7235,1239,673,5308
마포구,2023,534459,15913,44600,472953,0.99,375162,135308,83318,28775,43555,7586,34226,26254,232,7741,362155,362105,51,-,2771,1277,763,586
