자치구,대행업체,"일반쓰레기,음식물쓰레기",재활용,대형폐기물,수거지역,비고
송파구,평아기업㈜,Y,Y,Y,"방이1?2동, 송파1동,잠실4?6동",
송파구,원창산업㈜,Y,Y,Y,"풍납1?2동, 거여2동, 
 장지동 일부",
송파구,서울녹색산업㈜,Y,Y,Y,"석촌동,가락1동
 문정2동 일부(문정도시개발지구)
",
송파구,방산산업㈜,Y,Y,Y,"거여1동,마천1?2동,오륜동,오금동",
송파구,미도정업㈜,Y,Y,Y,"가락본동, 가락2동,문정1동",
송파구,(주)크린써비스,Y,Y,Y,"잠실2동,잠실3동일부
(갤러리아팰리스),",
송파구,오투환경㈜,Y,Y,Y,"장지파인타운,동남권유통단지
(한화,푸르지오, 아이파크.하비오 등)",
송파구,(주)초록숲,Y,Y,Y,"송파2동, 위례동,잠실7동",
강동구,초록환경개발,Y,Y,,"명일동, 암사동, 고덕동",
강동구,무한기업,Y,Y,,성내동,
강동구,삶과환경,Y,Y,,천호동,
강동구,나라환경산업,Y,Y,,"강일동, 길동, 둔촌동",
강동구,천일에너지 성수센터,,,Y,강동구전역,
