"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2003","합계",소계,605.41,10276968,605.41,10276968,100.0,48189.0,48189.0,100.0,48189.0,13595.5,1484.7,31918.7,1190.1,-
"2003","합계",종로구,23.91,181441,23.91,181441,100.0,1496.1,1496.1,100.0,1496.1,811.1,100.4,584.6,-,-
"2003","합계",중구,9.96,138798,9.96,138798,100.0,2452.3,2452.3,100.0,2452.3,468.6,8.1,1975.6,-,-
"2003","합계",용산구,21.87,240723,21.87,240723,100.0,1607.1,1607.1,100.0,1607.1,340.6,19.1,1247.4,-,-
"2003","합계",성동구,16.85,343929,16.85,343929,100.0,1874.5,1874.5,100.0,1874.5,324.2,10.0,1236.3,304.0,-
"2003","합계",광진구,17.05,388659,17.05,388659,100.0,1669.0,1669.0,100.0,1669.0,316.5,25.3,1314.3,12.9,-
"2003","합계",동대문구,14.22,386814,14.22,386814,100.0,1851.8,1851.8,100.0,1851.8,351.0,106.0,1394.8,-,-
"2003","합계",중랑구,18.50,438011,18.50,438011,100.0,1757.3,1757.3,100.0,1757.3,219.8,11.8,1525.7,-,-
"2003","합계",성북구,24.57,456535,24.57,456535,100.0,794.4,794.4,100.0,794.4,311.5,5.3,477.6,-,-
"2003","합계",강북구,23.60,362094,23.60,362094,100.0,705.8,705.8,100.0,705.8,241.9,23.7,440.2,-,-
"2003","합계",도봉구,20.80,378166,20.80,378166,100.0,1311.9,1311.9,100.0,1311.9,299.4,2.3,1010.2,-,-
"2003","합계",노원구,35.43,633934,35.43,633934,100.0,685.4,685.4,100.0,685.4,50.6,168.9,465.9,-,-
"2003","합계",은평구,29.72,476843,29.72,476843,100.0,1063.1,1063.1,100.0,1063.1,324.6,7.3,731.2,-,-
"2003","합계",서대문구,17.61,361754,17.61,361754,100.0,1177.0,1177.0,100.0,1177.0,284.3,27.7,865.0,-,-
"2003","합계",마포구,23.87,383629,23.87,383629,100.0,2438.6,2438.6,100.0,2438.6,649.6,2.9,1786.1,-,-
"2003","합계",양천구,17.40,489257,17.40,489257,100.0,1126.6,1126.6,100.0,1126.6,167.3,149.1,810.2,-,-
"2003","합계",강서구,41.40,539673,41.40,539673,100.0,2761.8,2761.8,100.0,2761.8,860.2,156.9,1172.1,572.6,-
"2003","합계",구로구,20.11,419438,20.11,419438,100.0,781.1,781.1,100.0,781.1,167.2,121.8,489.3,2.8,-
"2003","합계",금천구,13.00,267355,13.00,267355,100.0,1323.1,1323.1,100.0,1323.1,328.4,51.8,939.4,3.5,-
"2003","합계",영등포구,24.57,410952,24.57,410952,100.0,2680.6,2680.6,100.0,2680.6,715.8,38.7,1912.3,13.8,-
"2003","합계",동작구,16.36,413204,16.36,413204,100.0,1888.4,1888.4,100.0,1888.4,341.2,14.1,1533.1,-,-
"2003","합계",관악구,29.57,526971,29.57,526971,100.0,1390.2,1390.2,100.0,1390.2,754.0,36.3,599.9,-,-
"2003","합계",서초구,47.03,400220,47.03,400220,100.0,3975.0,3975.0,100.0,3975.0,1189.6,29.4,2756.0,-,-
"2003","합계",강남구,39.54,536031,39.54,536031,100.0,5591.4,5591.4,100.0,5591.4,1768.1,210.9,3345.4,267.0,-
"2003","합계",송파구,33.89,623267,33.89,623267,100.0,3356.8,3356.8,100.0,3356.8,448.5,27.5,2880.8,-,-
"2003","합계",강동구,24.58,479270,24.58,479270,100.0,2429.7,2429.7,100.0,2429.7,1861.5,129.4,425.3,13.5,-
"2004","합계",소계,605.39,10287847,605.39,10287847,100.0,45839.1,45839.1,100.0,45839.1,11818.5,1549.4,31336.3,1134.9,-
"2004","합계",종로구,23.91,178574,23.91,178574,100.0,2732.8,2732.8,100.0,2732.8,801.6,367.6,1563.6,-,-
"2004","합계",중구,9.96,136585,9.96,136585,100.0,1487.2,1487.2,100.0,1487.2,396.6,11.7,1078.9,-,-
"2004","합계",용산구,21.87,239070,21.87,239070,100.0,693.7,693.7,100.0,693.7,439.0,18.0,236.7,-,-
"2004","합계",성동구,16.85,343992,16.85,343992,100.0,1438.3,1438.3,100.0,1438.3,187.3,9.5,881.7,359.8,-
"2004","합계",광진구,17.05,384681,17.05,384681,100.0,838.3,838.3,100.0,838.3,161.7,18.2,658.4,-,-
"2004","합계",동대문구,14.22,383896,14.22,383896,100.0,2243.5,2243.5,100.0,2243.5,388.2,49.9,1805.4,-,-
"2004","합계",중랑구,18.50,436063,18.50,436063,100.0,1571.5,1571.5,100.0,1571.5,187.8,16.1,1367.6,-,-
"2004","합계",성북구,24.57,455041,24.57,455041,100.0,1995.0,1995.0,100.0,1995.0,506.7,11.9,1476.4,-,-
"2004","합계",강북구,23.60,362275,23.60,362275,100.0,738.9,738.9,100.0,738.9,213.9,12.5,512.5,-,-
