"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","중랑구",2009,74.9,-,-,74.9,63.3,11.6,-,-
"서울시","중랑구",2010,96.7,-,-,96.7,80.8,15.9,-,-
"서울시","중랑구",2011,91.6,-,-,91.6,44.4,21.2,-,26.0
"서울시","중랑구",2012,97.4,-,-,97.4,45.1,52.0,-,0.3
"서울시","중랑구",2013,102.6,-,-,102.6,25.7,21.2,-,55.7
"서울시","중랑구",2014,102.4,-,-,102.4,62.9,39.5,-,-
"서울시","중랑구",2015,99.6,-,-,99.6,52.8,46.8,-,-
"서울시","중랑구",2016,93.2,-,-,93.2,26.4,66.8,-,-
"서울시","중랑구",2017,90.6,-,-,90.6,59.0,31.6,-,-
"서울시","중랑구",2018,91.4,0.4,2.2,88.8,13.5,6.6,-,68.7
"서울시","중랑구",2019,91.0,-,-,91.0,6.6,84.0,-,0.4
"서울시","중랑구",2020,86.7,-,-,86.7,3.2,83.5,-,-
"서울시","중랑구",2021,84.2,-,-,84.2,24.2,58.8,-,1.2
"서울시","중랑구",2022,83.5,-,-,83.5,24.5,58.1,-,0.9
"서울시","중랑구",2023,79.9,-,-,79.9,25.1,4.2,-,50.7
"서울시","성북구",2004,85.6,20.7,-,64.9,-,-,-,-
"서울시","성북구",2005,90.0,-,-,90.0,60.0,30.0,-,-
"서울시","성북구",2006,97.0,-,-,97.0,61.1,35.9,-,-
"서울시","성북구",2007,104.7,-,-,104.7,72.4,32.3,-,-
"서울시","성북구",2008,102.2,-,-,102.2,69.8,32.3,-,0.1
"서울시","성북구",2009,104.1,-,-,104.1,76.6,26.6,-,0.9
"서울시","성북구",2010,98.1,-,-,98.1,75.7,21.6,-,0.8
"서울시","성북구",2011,105.9,-,-,105.9,92.4,13.3,-,0.2
"서울시","성북구",2012,105.5,-,-,105.5,101.8,3.2,-,0.5
"서울시","성북구",2013,105.0,-,-,105.0,27.4,22.0,-,55.6
"서울시","성북구",2014,109.4,-,-,109.4,62.2,47.2,-,-
"서울시","성북구",2015,106.9,-,-,106.9,104.6,2.3,-,-
"서울시","성북구",2016,103.2,-,-,103.2,50.0,53.2,-,-
"서울시","성북구",2017,95.4,-,-,95.4,90.7,4.5,-,0.2
"서울시","성북구",2018,94.0,-,-,94.0,67.2,21.0,-,5.8
"서울시","성북구",2019,93.8,-,-,93.8,7.9,85.2,-,0.7
"서울시","성북구",2020,86.9,-,-,86.9,1.8,83.3,-,2.2
"서울시","성북구",2021,86.7,-,-,86.7,2.1,82.6,-,1.9
"서울시","성북구",2022,91.9,-,-,91.9,3.4,88.5,-,-
"서울시","성북구",2023,92.4,-,-,92.4,3.3,71.3,-,17.9
"서울시","강북구",2004,78.5,30.6,-,47.9,-,-,-,-
"서울시","강북구",2005,83.0,-,-,83.0,39.0,44.0,-,-
"서울시","강북구",2006,80.5,-,-,80.5,50.6,29.9,-,-
"서울시","강북구",2007,84.5,-,-,84.5,49.0,35.5,-,-
"서울시","강북구",2008,88.5,-,-,88.5,47.3,41.2,-,-
"서울시","강북구",2009,89.7,-,-,89.7,62.5,26.2,-,1.0
