대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
계,강동구,2013,246.4,131.9,10.3,121.6,52.9,61.6,,0.5,246.4,487969,1782,1647.2,124.8,10.3,121.6,121.6,143,125.7,1392.6,1389.6,10.3,1.3,,,,,,,,,,,,,,,,,,
계,강동구,2014,392.6,274.3,148.9,125.4,59.2,59.1,,0.82,392.6,481332,1065.9,932.2,267.2,148.9,125.4,125.4,17.3,13,656,644.9,12.5,5,,125.4,111.9,51.6,56.2,4.1,13.5,4.2,6.1,3.2,,,,,,,,
계,강동구,2015,412.4,304.6,173.1,131.5,63.3,44.5,,0.89,412.4,463321,1363.7,1243.7,280.9,173.1,131.5,131.5,,,951.3,939.1,13.7,3.7,,131.5,107.9,35.6,57.7,14.6,23.6,11.1,10.2,2.3,,,,,,,,
계,강동구,2016,500.2,391.4,268.9,122.5,79.6,29.2,,1.12,500.2,448471,3630.2,3440,377.7,268.9,122.5,122.5,295.9,241.5,2834.1,2807.1,13.3,3.7,,122.5,100.2,36,46.7,17.5,22.3,10.1,9.6,2.6,,,,,,,,
계,강동구,2017,375,279.8,165.3,114.5,74.1,21.1,,0.85,375,440359,2313.3,2192.3,260.5,165.3,114.5,114.5,24,23.8,1914.3,1888.7,10.7,3.1,,114.6,94,40,34.9,19.1,20.6,9.9,8.2,2.5,,,,,,,,
계,강동구,2018,370.1,268.5,158.6,109.9,61.3,40.3,,0.86,370.1,431920,2328.3,2196.2,260.2,158.6,109.9,109.9,116,115.7,1842.2,1812,11.5,2,,110,89.4,33,43.7,12.7,20.6,10,8.6,2,,,,,,,,
계,강동구,2019,419.9,283.1,165.5,117.6,74.9,40.9,21,0.95,419.9,440390,4535.3,4352.8,306.4,169.6,113.5,113.5,389,355.4,3726.4,3714.3,20.2,3.3,,113.5,90,35.6,42.8,11.6,17.5,8.2,9.2,,,,6,4,0.4,1.7,,
계,강동구,2020,134696,90881,50471,40410,26954,16699,161,0.79,368,463998,1007193,953590,134696,90881,,,114885,107411,757613,755298,5259,1551,94.7,110.4,88.9,29.1,48.2,11.6,16.5,7.3,9.3,,,,5,3.2,,1.8,,
계,강동구,2021,146616,97802,55306,42496,20752,15911,12151,0.86,401.7,466472,1087820,1027200,146616,97802,,,104025,93768,837179,835630,5639,1740,94.4,116.6,93.6,31,51.3,11.3,19.2,8.6,10.4,0.1,,,3.8,2.4,0.2,1.2,,
계,강동구,2022,126256,90128,49478,40650,19731,16367,30,0.75,345.9,464037,753567,710501,126256,90128,,,105328,98728,521982,521646,4733,1588,94.3,113.1,91.6,32.5,47.7,11.4,16.7,9.5,7.2,,,,4.8,2.9,0.3,1.7,,
