대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,광역시도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률
계,강북구,2001,428.5,237.5,177.7,59.8,1.3,189.7,,,,,서울시,,1025.0,,238.0,,,,,,787.0,,,
계,강북구,2002,432.3,232.7,179.4,53.3,0.2,199.4,,,,,서울시,,835.0,,233.0,,,,,,602.0,,,
계,강북구,2003,387.8,191.8,153.4,38.4,1.7,194.3,,,,,서울시,,440.0,,192.0,,,,,,248.0,,,
계,강북구,2004,374.9,199.5,121.0,78.5,5.2,170.2,,,,,서울시,,513.0,,152.0,,48.0,,,,313.0,,2.0,
계,강북구,2005,354.0,236.6,153.4,83.2,,117.4,,,,,서울시,,1289.0,,154.0,,83.0,,,,1052.0,,1.0,
계,강북구,2006,350.4,235.9,155.4,80.5,6.5,108.0,,,,,서울시,,657.0,,144.0,,81.0,,1.0,,432.0,,1.0,
계,강북구,2007,346.0,230.5,146.0,84.5,40.9,74.6,,,,,서울시,,872.0,,146.0,,85.0,,,,641.0,,2.0,
계,강북구,2008,327.3,231.8,143.5,88.3,54.2,41.3,,,,,서울시,,1028.0,,144.0,,88.0,,,,796.0,,2.0,
계,강북구,2009,315.7,223.3,133.6,89.7,76.0,16.4,,0.92,315.7,343912.0,서울시,,942.0,,134.0,,90.0,,,,719.0,,2.0,
계,강북구,2010,233.4,145.4,56.9,88.5,77.2,10.8,,0.67,233.4,350007.0,서울시,901.2,792.1,144.9,56.9,88.5,88.5,,,667.8,646.7,5.5,3.8,
계,강북구,2011,242.9,157.6,69.3,88.3,75.0,10.3,,0.7,242.9,348740.0,서울시,798.9,683.0,154.5,69.2,88.4,88.4,37.0,37.0,519.0,488.4,12.9,3.1,
계,강북구,2012,242.5,164.4,74.7,89.7,76.1,2.0,,0.7,242.5,346493.0,서울시,875.6,794.2,152.8,74.7,89.7,89.7,16.0,16.0,617.1,613.8,5.7,3.4,
계,강북구,2013,232.6,156.1,68.4,87.7,69.9,6.6,,0.68,232.6,341921.0,서울시,832.6,754.4,144.9,68.4,87.7,87.7,12.8,12.8,587.2,585.5,5.2,3.5,
계,강북구,2014,232.0,150.3,62.6,87.7,66.2,15.5,,0.69,232.0,338410.0,서울시,744.2,661.2,144.3,62.6,87.7,87.7,10.4,10.4,501.8,500.5,3.1,1.5,
계,강북구,2015,230.2,152.7,64.1,88.6,66.0,11.5,,0.69,230.2,334426.0,서울시,1049.9,970.6,141.6,64.1,88.6,88.6,,,819.7,817.9,5.7,1.9,
계,강북구,2016,230.0,154.8,70.3,84.5,67.2,8.0,,0.7,230.0,330704.0,서울시,885.1,808.2,145.5,70.3,84.5,84.5,,,655.1,653.4,3.9,1.7,
